index_label,longitude,latitude,time,d2m,t2m,skt,stl1,stl2,stl3,stl4
8226,100.5,30.5,2020-12-08 18:00:00,259.927349711855,268.5616778145432,261.0575418009372,271.7086470717759,272.6639640975402,274.501712674444,278.6140617023789
8227,100.5,30.5,2020-12-08 19:00:00,260.15724150718614,268.44569673867534,261.03627896093155,271.61694431681843,272.65988037776236,274.49969613651234,278.6109602897616
8228,100.5,30.5,2020-12-08 20:00:00,260.28263703191226,268.06991805286344,260.9311460297924,271.52524156186104,272.6553882860067,274.4979676754281,278.60785887714434
8229,100.5,30.5,2020-12-08 21:00:00,260.3923581160476,267.49836331098663,260.75395569641177,271.42967182326083,272.6513045662288,274.4942226764122,278.60458516382613
8230,100.5,30.5,2020-12-08 22:00:00,260.4080325566384,267.00753139791385,260.51652064968175,271.32968267478316,272.6472208464509,274.4922061384806,278.59941614279734
8231,100.5,30.5,2020-12-08 23:00:00,260.40629095212824,266.4675235086731,260.344055391858,271.2258265426627,272.64109526678413,274.4884611394647,278.5963147301801
8232,100.5,30.5,2020-12-09 00:00:00,260.4028077431081,265.916381436149,260.1845840918154,271.115341295726,272.63374457118397,274.4850042172962,278.59321331756286
8233,100.5,30.5,2020-12-09 01:00:00,260.8190512210183,266.6020615566798,262.26952368126064,271.0794335904716,272.6268022475616,274.4832757562119,278.5887334993379
8234,100.5,30.5,2020-12-09 02:00:00,261.17259693656547,269.81241773670223,270.6919708612857,271.326368117375,272.62231015580596,274.47981883404344,278.58563208672064
8235,100.5,30.5,2020-12-09 03:00:00,261.06461745694025,273.3920576622879,275.95097995602225,271.5175075945755,272.6178180640503,274.4763619118749,278.5825306741034
8236,100.5,30.5,2020-12-09 04:00:00,260.76157827218555,276.170036391475,279.9980071704354,271.7307441211632,272.61659294811693,274.4731930665538,278.5792569607852
8237,100.5,30.5,2020-12-09 05:00:00,260.11195978992396,278.1918185060036,282.085309297659,271.93348454929196,272.61536783218355,274.4717526823169,278.5740879397564
8238,100.5,30.5,2020-12-09 06:00:00,259.5302638835557,279.6123547232331,283.4898380069227,272.12959586260456,272.6149594602058,274.4685838369958,278.57098652713915
8239,100.5,30.5,2020-12-09 07:00:00,259.81501622095453,280.2627765967001,283.6752972225277,272.2986382904176,272.61536783218355,274.46743152960624,278.56771281382095
8240,100.5,30.5,2020-12-09 08:00:00,259.6356309564158,280.1393727319767,282.5412790888918,272.43343029168034,272.61822643602807,274.46426268428513,278.56254379279216
8241,100.5,30.5,2020-12-09 09:00:00,259.95695698852643,279.19760639592965,280.3925509794296,272.5140845219441,272.61945155196145,274.461093838964,278.5594423801749
8242,100.5,30.5,2020-12-09 10:00:00,260.2277764898446,277.5738713337796,277.0141219563059,272.5273427515765,272.6214934118504,274.4582130704903,278.5563409675576
8243,100.5,30.5,2020-12-09 11:00:00,260.3139859130938,276.1292110527695,271.97246633718294,272.45276520989427,272.6239436437171,274.4553323020165,278.5530672542394
8244,100.5,30.5,2020-12-09 12:00:00,260.44286464684006,274.66228240519274,266.4370403223726,272.31797320863154,272.62476038767267,274.45475614832174,278.54996584162217
8245,100.5,30.5,2020-12-09 13:00:00,260.61005867980816,273.3883462678602,264.1371097950923,272.21080251910297,272.62557713162823,274.451875379848,278.54669212830396
8246,100.5,30.5,2020-12-09 14:00:00,260.8103431984679,272.25729881599676,263.14602519705005,272.11744248544153,272.6268022475616,274.4481303808321,278.54169540797614
8247,100.5,30.5,2020-12-09 15:00:00,261.0123693216377,271.27934638427894,262.6806052547036,272.02684458295346,272.6239436437171,274.4455376892057,278.5384216946579
8248,100.5,30.5,2020-12-09 16:00:00,261.2056874222571,270.4517054268859,262.36166265461856,271.9362466804654,272.62312689976153,274.44496153551097,278.53532028204063
8249,100.5,30.5,2020-12-09 17:00:00,261.4242587882727,269.82169622277166,262.0486263989794,271.84454392550794,272.62231015580596,274.44265692073196,278.5320465687224
